1101,臺灣水泥股份有限公司,	11913502,1962/02/09
1102,亞洲水泥股份有限公司,	03244509,1962/06/08
1103,嘉新水泥股份有限公司,	11892801,1969/11/14
1104,環球水泥股份有限公司,	07568009,1971/02/01
1108,幸福水泥股份有限公司,	40601248,1990/06/06
1109,信大水泥股份有限公司,	03279507,1991/12/05
1110,東南水泥股份有限公司,	83078600,1994/10/22
1201,味全食品工業股份有限公司,	11347802,1962/02/09
1203,味王股份有限公司,	07067309,1964/08/24
1210,大成長城企業股份有限公司,	73008303,1978/05/20
1213,大西洋飲料股份有限公司,	35012903,1981/04/10
1215,台灣卜蜂企業股份有限公司,	36514783,1987/07/27
1216,統一企業股份有限公司,	73251209,1987/12/28
1217,愛之味股份有限公司,	65534366,1989/10/28
1218,泰山企業股份有限公司,	59661701,1989/11/11
1219,福壽實業股份有限公司,	56192402,1990/12/01
1220,台榮產業股份有限公司,	03543210,1991/11/20
1225,福懋油脂股份有限公司,	22102298,1993/09/27
1227,佳格食品股份有限公司,	22102473,1994/04/09
1229,聯華實業控股股份有限公司,	11996904,1976/07/19
1231,聯華食品工業股份有限公司,	07569627,1995/11/02
1232,大統益股份有限公司,	20927014,1996/02/09
1233,天仁茶業股份有限公司,	18559415,1999/01/20
1234,黑松股份有限公司,	20651901,1999/03/12
1235,興泰實業股份有限公司,	85617982,2000/09/11
1236,宏亞食品股份有限公司,	34106066,2001/09/17
1256,鮮活控股股份有限公司,	37759808,2016/03/17
1301,台灣塑膠工業股份有限公司,	75708007,1964/07/27
1303,南亞塑膠工業股份有限公司,	75370905,1967/11/05
1304,台灣聚合化學品股份有限公司,	11917107,1972/05/20
1305,華夏海灣塑膠股份有限公司,	11686106,1973/03/05
1307,三芳化學工業股份有限公司,	83387850,1985/11/23
1308,亞洲聚合股份有限公司,	20747385,1986/06/20
1309,台達化學工業股份有限公司,	11893409,1986/06/27
1310,台灣苯乙烯工業股份有限公司,	20844865,1987/08/06
1312,國喬石油化學股份有限公司,	04212250,1988/12/21
1313,聯成化學科技股份有限公司,	04748660,1989/03/27
1314,中國石油化學工業開發(股)公司,	03084741,1991/07/12
1315,達新工業股份有限公司,	51059101,1992/05/09
1316,上曜建設開發股份有限公司,	73654033,1992/10/15
1319,東陽實業廠股份有限公司,	68326665,1994/12/12
1321,大洋塑膠工業股份有限公司,	15024509,1999/01/26
1323,永裕塑膠工業股份有限公司,	68192103,2000/09/11
1324,地球綜合工業股份有限公司,	07147916,2000/09/11
1325,恒大股份有限公司,	11455800,2000/09/11
1326,台灣化學纖維股份有限公司,	58650902,1984/12/20
1337,亞洲塑膠再生資源控股有限公司,	26068617,2011/08/17
1338,廣華控股有限公司,	26594386,2012/12/19
1339,昭輝實業股份有限公司,	22078327,2012/04/24
1340,勝悅新材料有限公司,	37722768,2014/01/14
1341,富林塑膠工業(開曼)控股(股)公司,	82716171,2018/12/24
1342,八貫企業股份有限公司,	12386676,2020/11/24
1402,遠東新世紀股份有限公司,	03522600,1967/04/14
1409,新光合成纖維股份有限公司,	07435515,1973/08/31
1410,南洋染整股份有限公司,	35286207,1973/10/18
1413,宏洲纖維工業股份有限公司,	07220710,1975/12/23
1414,東和紡織股份有限公司,	73141105,1976/02/02
1416,廣豐實業股份有限公司,	43434316,1976/04/20
1417,嘉裕股份有限公司,	11825825,1976/12/28
1418,東華龍股份有限公司,	11083148,1977/02/14
1419,新光紡織股份有限公司,	07435901,1977/03/14
1423,利華羊毛工業股份有限公司,	11311608,1979/04/02
1432,大魯閣實業股份有限公司,	04690983,1982/07/26
1434,福懋興業股份有限公司,	14001199,1985/12/24
1435,中福國際(股)公司,	03101946,1987/12/28
1436,華友聯開發股份有限公司,	07510318,1988/04/11
1437,勤益投資控股股份有限公司,	35535607,1988/11/10
1438,三地開發地產股份有限公司,	03561011,1988/12/15
1439,雋揚國際股份有限公司,	11113403,1989/05/22
1440,臺南紡織股份有限公司,	68919301,1989/10/03
1441,大東紡織股份有限公司,	51037304,1989/10/27
1442,名軒開發股份有限公司,	04615057,1989/11/16
1443,立益物流開發股份有限公司,	04287483,1990/04/21
1444,力麗企業股份有限公司,	07663290,1990/08/08
1445,大宇紡織股份有限公司,	07015014,1991/02/05
1446,宏和精密紡織股份有限公司,	73641170,1991/10/15
1447,力鵬企業股份有限公司,	33955322,1992/01/28
1449,佳和實業股份有限公司,	72055019,1992/05/06
1451,年興紡織股份有限公司,	22266307,1992/12/21
1452,宏益纖維工業股份有限公司,	43121481,1992/12/28
1453,大將開發股份有限公司,	07617901,1993/04/19
1454,台灣富綢纖維股份有限公司,	04301794,1993/05/07
1455,集盛實業股份有限公司,	43295237,1993/10/07
1456,怡華實業股份有限公司,	33144175,1993/12/09
1457,宜進實業股份有限公司,	07669338,1994/10/20
1459,聯發紡織纖維股份有限公司,	33653494,1994/10/26
1460,宏遠興業股份有限公司,	22817999,1995/04/28
1463,強盛新股份有限公司,	07715023,1996/12/05
1464,得力實業股份有限公司,	73686632,1997/01/18
1465,偉全實業股份有限公司,	33700601,1997/09/08
1466,聚隆纖維股份有限公司,	22976047,1998/04/04
1467,南緯實業股份有限公司,	69559487,1998/12/21
1468,昶和纖維興業股份有限公司,	36123364,1999/01/21
1470,大統新創股份有限公司,	22267777,1999/05/21
1471,首利實業股份有限公司,	07699023,2000/03/06
1472,三洋實業股份有限公司,	07029919,2000/09/11
1473,台南企業股份有限公司,	68919702,2000/09/11
1474,弘裕企業股份有限公司,	58003997,2000/10/31
1475,台灣業旺股份有限公司,	23912057,2000/10/27
1476,儒鴻企業股份有限公司,	35884479,2001/04/18
1477,聚陽實業股份有限公司,	23609668,2003/01/21
1503,士林電機廠股份有限公司,	11039306,1969/12/15
1504,東元電機股份有限公司,	11332202,1973/11/05
1506,正道工業股份有限公司,	68193807,1980/08/11
1512,瑞利企業股份有限公司,	85330636,1994/01/28
1513,中興電工機械股份有限公司,	33029464,1994/03/08
1514,亞力電機股份有限公司,	03213392,1994/03/26
1515,力山工業股份有限公司,	55759180,1995/02/04
1516,川飛能源股份有限公司,	22071751,1995/04/01
1517,利奇機械工業股份有限公司,	59008318,1995/11/14
1519,華城電機股份有限公司,	33284077,1997/04/16
1521,大億交通工業製造股份有限公司,	69408876,1997/10/06
1522,堤維西交通工業股份有限公司,	22269487,1997/10/06
1524,耿鼎企業股份有限公司,	22081250,1998/10/30
1525,江申工業股份有限公司,	35129100,1999/05/15
1526,日馳企業股份有限公司,	11099726,2000/03/27
1527,鑽全實業股份有限公司,	20982120,2000/06/21
1528,恩德科技股份有限公司,	11551634,2000/09/11
1529,樂事綠能科技股份有限公司,	34211074,2000/09/11
1530,亞崴機電股份有限公司,	22224692,2000/09/11
1531,高林股份有限公司,	29538509,2000/09/11
1532,勤美股份有限公司,	03474311,2000/09/11
1533,車王電子股份有限公司,	04827138,2001/04/06
1535,中宇環保工程股份有限公司,	84252401,2001/09/17
1536,和大工業股份有限公司,	52264848,2001/09/17
1537,廣隆光電科技股份有限公司,	23556563,2002/01/22
1538,正峰工業股份有限公司,	44947686,2002/08/26
1539,巨庭機械股份有限公司,	52646207,2002/10/29
1540,喬福機械工業股份有限公司,	52903090,2002/08/26
1541,錩泰工業股份有限公司,	23248433,2003/03/19
1558,伸興工業股份有限公司,	55754185,2014/12/23
1560,中國砂輪企業股份有限公司,	03089008,2005/01/31
1563,巧新科技工業股份有限公司,	84980915,2024/05/13
1568,倉佑實業股份有限公司,	66654986,2014/05/14
1582,信錦企業股份有限公司,	35966577,2009/12/17
1583,程泰機械股份有限公司,	52353530,2008/01/24
1587,吉茂精密股份有限公司,	24157564,2018/04/16
1589,永冠能源科技集團有限公司,	41048746,2012/04/27
1590,亞德客國際集團,	53666460,2010/12/13
1597,直得科技股份有限公司,	16755427,2020/12/23
1598,岱宇國際股份有限公司,	23751545,2016/09/20
1603,中華電線電纜股份有限公司,	35882520,1968/06/03
1604,聲寶股份有限公司,	03607500,1970/12/14
1605,華新麗華股份有限公司,	35412204,1972/11/03
1608,華榮電線電纜股份有限公司,	79460007,1988/07/11
1609,大亞電線電纜股份有限公司,	68035907,1988/12/12
1611,中國電器股份有限公司,	03086001,1990/01/16
1612,宏泰電工股份有限公司,	43125162,1993/05/08
1614,台灣三洋電機股份有限公司,	03564501,1997/09/18
1615,大山電線電纜股份有限公司,	64829434,2000/03/30
1616,億泰電線電纜股份有限公司,	22819700,2000/09/11
1617,榮星電線工業股份有限公司,	73341336,2000/09/11
1618,合機電線電纜股份有限公司,	23206102,2000/09/11
1626,艾美特(開曼)國際有限公司,	34995738,2013/03/21
1702,南僑投資控股股份有限公司,	07305506,1973/05/30
1707,葡萄王生技股份有限公司,	11880517,1982/12/20
1708,東南實業股份有限公司,	11384405,1986/06/16
1709,和益化學工業股份有限公司,	04312878,1986/07/03
1710,東聯化學股份有限公司,	14057995,1987/10/21
1711,臺灣永光化學工業股份有限公司,	15458455,1988/12/27
1712,興農股份有限公司,	51911712,1989/12/14
1713,國泰化工廠股份有限公司,	03375001,1990/01/31
1714,和桐化學股份有限公司,	12526607,1991/08/30
1717,長興材料工業股份有限公司,	75339004,1994/03/31
1718,中國人造纖維股份有限公司,	07066907,1963/12/02
1720,生達化學製藥股份有限公司,	71122503,1995/12/12
1721,三晃股份有限公司,	55738290,1996/05/16
1722,台灣肥料股份有限公司,	03795101,1998/03/24
1723,中鋼碳素化學股份有限公司,	23221384,1998/11/27
1725,元禎企業股份有限公司,	12132033,2000/09/11
1726,永記造漆工業股份有限公司,	75137605,2000/09/11
1727,臺灣中華化學工業股份有限公司,	03558206,2000/09/11
1730,花仙子企業股份有限公司,	07708830,2001/09/17
1731,美吾華股份有限公司,	14089976,2001/09/17
1732,毛寶股份有限公司,	34245356,2001/09/17
1733,五鼎生物技術股份有限公司,	16130182,2001/09/17
1734,杏輝藥品工業股份有限公司,	42042734,2002/08/26
1735,日勝化工股份有限公司,	23263551,2002/08/26
1736,喬山健康科技股份有限公司,	52347361,2003/01/09
1737,臺鹽實業股份有限公司,	89397503,2003/11/18
1752,南光化學製藥股份有限公司,	69275313,2022/01/19
1760,寶齡富錦生技股份有限公司,	04742997,2018/01/23
1762,中化合成生技股份有限公司,	03088704,2010/12/20
1773,勝一化工股份有限公司,	75970680,2009/02/27
1776,展宇科技材料股份有限公司,	47061800,2016/05/09
1783,和康生物科技股份有限公司,	16749811,2013/12/20
1786,科妍生物科技股份有限公司,	13159100,2013/11/12
1789,台灣神隆股份有限公司,	16130161,2011/09/29
1795,美時化學製藥股份有限公司,	11456110,2019/12/16
1802,台灣玻璃工業股份有限公司,	11914002,1973/07/20
1805,寶徠建設股份有限公司,	12179563,1989/10/20
1806,冠軍建材股份有限公司,	49701774,1992/09/29
1808,潤隆建設股份有限公司,	34149369,1994/10/26
1809,中國製釉股份有限公司,	47056834,1996/04/30
1810,和成欣業股份有限公司,	03228304,1991/10/14
1817,凱撒衛浴股份有限公司,	22746550,2013/10/24
1903,士林紙業股份有限公司,	11038101,1963/12/09
1904,正隆股份有限公司,	33085508,1971/09/10
1905,中華紙漿股份有限公司,	94025264,1975/02/07
1906,寶隆國際股份有限公司,	12030606,1976/04/26
1907,永豐餘投資控股股份有限公司,	85066002,1977/02/22
1909,榮成紙業股份有限公司,	34202841,1985/11/19
2002,中國鋼鐵股份有限公司,	30414175,1974/12/26
2006,東和鋼鐵企業股份有限公司,	75280209,1988/07/13
2007,燁興企業股份有限公司,	75992214,1988/10/04
2008,高興昌鋼鐵股份有限公司,	75466009,1988/12/28
2009,第一伸銅科技股份有限公司,	82001528,1989/10/20
2010,春源鋼鐵工業股份有限公司,	11529802,1989/12/22
2012,春雨工廠股份有限公司,	88187108,1991/10/17
2013,中國鋼鐵結構股份有限公司,	85800192,1992/01/21
2014,中鴻鋼鐵股份有限公司,	07838854,1992/02/20
2015,豐興鋼鐵股份有限公司,	55389357,1992/05/25
2017,官田鋼鐵股份有限公司,	72065240,1992/11/02
2020,美亞鋼管廠股份有限公司,	44680700,1993/04/27
2022,聚亨企業股份有限公司,	79841479,1995/03/27
2023,燁輝企業股份有限公司,	75947936,1995/07/28
2024,志聯工業股份有限公司,	43633504,1995/12/30
2025,千興不銹鋼(股)公司,	70005915,1996/02/08
2027,大成不銹鋼工業股份有限公司,	22318348,1996/10/24
2028,威致鋼鐵工業股份有限公司,	69771636,1996/12/13
2029,盛餘股份有限公司,	79837539,1997/01/11
2030,彰源企業股份有限公司,	60330130,1998/12/24
2031,新光鋼鐵股份有限公司,	35836625,2000/09/11
2032,新鋼工業股份有限公司,	34008635,2000/09/11
2033,佳大世界股份有限公司,	72072615,2000/09/11
2034,允強實業股份有限公司,	59068700,2001/09/17
2038,海光企業股份有限公司,	75470524,2008/12/30
2049,上銀科技股份有限公司,	23503047,2009/06/26
2059,川湖科技股份有限公司,	22274989,2008/06/25
2062,橋椿金屬股份有限公司,	59353423,2007/11/16
2069,運錩鋼鐵股份有限公司,	22533297,2016/03/22
2101,南港輪胎股份有限公司,	11520909,1963/11/01
2102,泰豐輪胎股份有限公司,	44721408,1979/07/16
2103,台橡股份有限公司,	03553737,1982/09/25
2104,國際中橡投資控股股份有限公司,	04382114,1986/07/15
2105,正新橡膠工業股份有限公司,	59504506,1987/12/07
2106,建大工業股份有限公司,	59619900,1990/12/20
2107,厚生股份有限公司,	03283306,1992/03/03
2108,南帝化學工業股份有限公司,	12209807,1992/10/27
2109,華豐橡膠工業股份有限公司,	59760104,2000/05/08
2114,鑫永銓股份有限公司,	51704734,2010/12/29
2115,六暉控股股份有限公司,	38773146,2013/12/25
2201,裕隆汽車製造股份有限公司,	03489200,1976/07/08
2204,中華汽車工業股份有限公司,	03098415,1991/03/12
2206,三陽工業股份有限公司,	24004006,1996/07/29
2207,和泰汽車股份有限公司,	03251108,1997/02/25
2208,台灣國際造船股份有限公司,	04695235,2008/12/22
2211,長榮鋼鐵股份有限公司,	81188829,2021/04/12
2227,裕隆日產汽車股份有限公司,	80032530,2004/12/21
2228,劍麟股份有限公司,	04359789,2013/11/25
2231,為升電裝工業股份有限公司,	23219346,2010/11/19
2233,宇隆科技股份有限公司,	22702791,2019/09/17
2236,百達精密工業股份有限公司,	42299452,2015/06/03
2239,開曼英利工業股份有限公司,	47423487,2016/01/27
2241,艾姆勒科技股份有限公司,	53418357,2020/08/26
2243,宏旭控股股份有限公司,	55996613,2017/09/27
2247,汎德永業汽車股份有限公司,	20838245,2020/10/12
2250,第一化成控股(開曼)股份有限公司,	91165085,2021/05/31
2254,巨鎧精密工業股份有限公司,	54297090,2023/10/20
2258,鴻華先進科技股份有限公司,	83167722,2023/11/20
2301,光寶科技股份有限公司,	23357403,1995/11/17
2302,麗正國際科技股份有限公司,	04982433,1985/01/15
2303,聯華電子股份有限公司,	47217677,1985/07/16
2305,全友電腦股份有限公司,	47226140,1988/10/21
2308,台達電子工業股份有限公司,	34051920,1988/12/19
2312,金寶電子工業股份有限公司,	04370927,1989/11/07
2313,華通電腦股份有限公司,	04401392,1990/07/24
2314,台揚科技股份有限公司,	47255762,1990/08/08
2316,楠梓電子股份有限公司,	76026851,1991/02/05
2317,鴻海精密工業股份有限公司,	04541302,1991/06/18
2321,東訊股份有限公司,	47224065,1991/11/08
2323,中環股份有限公司,	12205020,1992/02/17
2324,仁寶電腦工業股份有限公司,	21222725,1992/02/18
2327,國巨股份有限公司,	22636630,1993/10/22
2328,廣宇科技股份有限公司,	03546618,1993/11/09
2329,華泰電子股份有限公司,	89004161,1994/04/20
2330,台灣積體電路製造股份有限公司,	22099131,1994/09/05
2331,精英電腦股份有限公司,	22449566,1994/09/21
2332,友訊科技股份有限公司,	22099189,1994/10/17
2337,旺宏電子股份有限公司,	22099548,1995/03/15
2338,台灣光罩股份有限公司,	22099408,1995/04/17
2340,台亞半導體股份有限公司,	47255947,1995/05/02
2342,台灣茂矽電子股份有限公司,	22099110,1995/09/19
2344,華邦電子股份有限公司,	22099218,1995/10/18
2345,智邦科技股份有限公司,	22099287,1995/11/15
2347,聯強國際股份有限公司,	23060541,1995/12/13
2348,海悅國際開發股份有限公司,	22624873,1996/01/05
2349,錸德科技股份有限公司,	23218873,1996/04/23
2351,順德工業股份有限公司,	58506816,1996/04/25
2352,佳世達科技股份有限公司,	12490306,1996/07/22
2353,宏碁股份有限公司,	20828393,1996/09/18
2354,鴻準精密工業股份有限公司,	23707801,1996/10/08
2355,敬鵬工業股份有限公司,	43816068,1996/10/14
2356,英業達股份有限公司,	04322046,1996/11/13
2357,華碩電腦股份有限公司,	23638777,1996/11/14
2359,所羅門股份有限公司,	23640801,1996/12/19
2360,致茂電子股份有限公司,	09461025,1996/12/21
2362,藍天電腦股份有限公司,	09424319,1997/04/02
2363,矽統科技股份有限公司,	22099202,1997/08/01
2364,倫飛電腦實業股份有限公司,	79883646,1997/08/11
2365,昆盈企業股份有限公司,	05141520,1997/11/03
2367,燿華電子股份有限公司,	05637971,1997/12/13
2368,金像電子(股)公司,	30955404,1998/03/09
2369,菱生精密工業股份有限公司,	55625676,1998/04/10
